county_fips,county_name,exposure_2017,exposure_2023,exposure_change_abs,exposure_change_pct
48201,"Harris County, Texas",4732391146.206438,7324700220.709229,2592309074.5027914,0.5477799688178414
48329,"Midland County, Texas",616688294.5385551,2298413858.3725934,1681725563.8340383,2.7270268930471766
04013,"Maricopa County, Arizona",2794115068.611494,3992995254.771997,1198880186.160503,0.42907330468543436
48113,"Dallas County, Texas",2585903433.1470494,3630425950.023891,1044522516.8768415,0.4039294366091837
48439,"Tarrant County, Texas",2235592131.8864117,2970926156.2719316,735334024.38552,0.3289213689283469
06001,"Alameda County, California",2043486823.0736666,2742939891.8113174,699453068.7376509,0.34228411010039383
17031,"Cook County, Illinois",4588846283.886056,5270854462.766824,682008178.8807678,0.14862301691727414
06085,"Santa Clara County, California",2195331087.9149847,2876263472.182881,680932384.2678962,0.3101729793817167
48339,"Montgomery County, Texas",328780907.20127594,1005217996.5471475,676437089.3458716,2.0574098876482645
48135,"Ector County, Texas",228710273.55248636,901150426.4777166,672440152.9252303,2.940139690624405
25017,"Middlesex County, Massachusetts",1421093051.6960034,2077940932.1641047,656847880.4681013,0.4622131391636784
49035,"Salt Lake County, Utah",1393383515.047945,2008897098.7618895,615513583.7139444,0.4417402510268432
40109,"Oklahoma County, Oklahoma",746896030.1496091,1313486600.5296662,566590570.3800571,0.7585936295130188
22055,"Lafayette Parish, Louisiana",328519458.4955778,822984058.2567246,494464599.7611468,1.5051303262993865
32003,"Clark County, Nevada",542783196.8139299,1009005261.6451826,466222064.8312527,0.8589471221067978
06029,"Kern County, California",976229084.0341836,1438541223.8076642,462312139.77348053,0.473569316192686
48453,"Travis County, Texas",699623488.4871335,1158523291.405947,458899802.91881347,0.6559239511971486
26163,"Wayne County, Michigan",2256750788.9893513,2707111836.704145,450361047.7147937,0.19956171054070196
48029,"Bexar County, Texas",1014322480.5211072,1449830183.8926582,435507703.37155104,0.42935822850717986
06065,"Riverside County, California",1284454575.8753138,1685577535.1007864,401122959.2254727,0.31229049805215614
26081,"Kent County, Michigan",1740175967.8253849,2140802468.5921621,400626500.7667773,0.23022183283419387
06059,"Orange County, California",3937354241.4607863,4322978386.078262,385624144.617476,0.09793991624040581
18039,"Elkhart County, Indiana",1900195404.3250334,2277778686.377516,377583282.05248237,0.1987076072245335
53061,"Snohomish County, Washington",1520767956.7093544,1894847034.5212352,374079077.8118808,0.2459803786379844
06073,"San Diego County, California",2806938549.225909,3178246279.065066,371307729.8391566,0.1322821014167036
12095,"Orange County, Florida",733554673.9979298,1092817108.275882,359262434.2779522,0.4897554974599836
27053,"Hennepin County, Minnesota",2005407329.8203022,2362347733.9052653,356940404.0849631,0.17798897948425635
45083,"Spartanburg County, South Carolina",800215016.5575941,1155601778.0547667,355386761.4971726,0.4441140870187535
08123,"Weld County, Colorado",456166648.22163796,804964254.1990176,348797605.9773797,0.7646275924317667
38105,"Williams County, North Dakota",124209184.90020727,470084263.9684959,345875079.0682886,2.784617573540743
41067,"Washington County, Oregon",1104551993.515334,1446597199.498631,342045205.9832971,0.3096687236014197
21111,"Jefferson County, Kentucky",1271018808.202143,1595111929.9701693,324093121.76802635,0.2549868811355013
26125,"Oakland County, Michigan",1421851524.2070582,1736186725.6107485,314335201.40369034,0.2210745609173149
06037,"Los Angeles County, California",8701736220.603203,9015205582.92998,313469362.3267765,0.03602377208177966
42071,"Lancaster County, Pennsylvania",956175582.6400542,1262609065.0314891,306433482.3914349,0.32047825520220347
12057,"Hillsborough County, Florida",555367589.1898139,857931910.6761194,302564321.4863056,0.5448001060481312
35025,"Lea County, New Mexico",113225153.41804843,410550337.7397268,297325184.32167834,2.625964066693716
55025,"Dane County, Wisconsin",793439135.2868878,1089943334.2105052,296504198.9236175,0.3736949511778354
01125,"Tuscaloosa County, Alabama",448945592.43469876,732421107.1719143,283475514.7372156,0.6314250980834575
06071,"San Bernardino County, California",1415526799.826689,1698817532.7493415,283290732.9226525,0.20013095686873422
