term,estimate,std_error,t_value,p_value
(Intercept),8.214426549790684,0.17162231535732722,47.86339429512876,0
gop_share_20,-1.646567407060487,0.23698575963728333,-6.947959276458753,4.541748270583905e-12
swingness_20,0.03595010530353524,0.2630766291086732,0.13665259975900318,0.8913147194484311
gop_share_20:swingness_20,1.2430443095087975,0.42218662333045387,2.944300555292208,0.003262131434269008
