model,n,r2,r2_within,adj_r2
latest_hc1,3096,0.26871285004975254,NA,0.2680033217671359
latest_statefe_cluster,3096,0.3483114633775918,0.22202172671355613,0.33739289722524524
panel_statefe_cluster,21677,0.3664730604565185,0.23818218500552146,0.36480272253367385
shift_hc1,3095,0.02595247294223535,NA,0.025007101676892907
