county_fips,county_name,state_name,political_salience_index,county_exposure_mean,swingness_24,gop_share_24,margin_24,dominant_naics2c
02013,"Aleutians East Borough, Alaska",Alaska,0.9872094622472838,307600940818.7879,0.9872094622472838,0.49360473112364184,-0.01279053775271626,31-33
47075,"Haywood County, Tennessee",Tennessee,0.964915326170876,150428553133.09598,0.996241731809982,0.4939867708959711,-0.00375826819001801,31-33
13301,"Warren County, Georgia",Georgia,0.9363180895715142,168741371025.41196,0.9529320987654321,0.47530864197530864,-0.04706790123456794,31-33
22047,"Iberville Parish, Louisiana",Louisiana,0.9354677311586047,131703462207.7901,0.9926403543050671,0.49602709391689465,0.00735964569493291,31-33
28061,"Jasper County, Mississippi",Mississippi,0.9282232976149326,161007544873.73776,0.9498098859315589,0.5219264892268695,0.05019011406844109,31-33
13093,"Dooly County, Georgia",Georgia,0.9102685613650748,174572872158.78766,0.9229111802729232,0.5369882690926502,0.07708881972707682,31-33
51750,"Radford city, Virginia",Virginia,0.8984873518199881,113719473091.64433,0.9948091603053436,0.48809160305343513,-0.00519083969465644,31-33
28029,"Copiah County, Mississippi",Mississippi,0.8866670687878023,132676375005.1782,0.9393056150878697,0.5258465495070724,0.0606943849121303,31-33
22093,"St. James Parish, Louisiana",Louisiana,0.8790184974130538,108574636671.62578,0.9906692679616592,0.5006361862753415,0.00933073203834083,31-33
45069,"Marlboro County, South Carolina",South Carolina,0.8774797732007729,112783762697.64119,0.9762608353033884,0.48226950354609927,-0.02373916469661158,31-33
37007,"Anson County, North Carolina",North Carolina,0.8565733389741503,104940649517.36392,0.9749516530067226,0.5087945483009485,0.02504834699327746,31-33
33019,"Sullivan County, New Hampshire",New Hampshire,0.8563418943340141,99660514710.08571,0.9933442270136703,0.4975489219241959,0.00665577298632974,31-33
28017,"Chickasaw County, Mississippi",Mississippi,0.8562965083590668,188426050261.10123,0.8632844899087642,0.5638650815593033,0.13671551009123578,31-33
51081,"Greensville County, Virginia",Virginia,0.8534002205416837,130619339588.43274,0.9073556797020484,0.4506517690875233,-0.0926443202979516,31-33
55045,"Green County, Wisconsin",Wisconsin,0.8516587551517006,97054050040.9424,0.9972759466085536,0.49228184872423497,-0.00272405339144649,31-33
17007,"Boone County, Illinois",Illinois,0.84663852949029506,186459113545.10342,0.8548893293690122,0.5646266930954741,0.1451106706309878,31-33
02016,"Aleutians West Census Area, Alaska",Alaska,0.8452958474629877,222546364420.23178,0.8474064488299364,0.42370322441496816,-0.15259355117006362,31-33
13225,"Peach County, Georgia",Georgia,0.8267902290003982,105894513649.442,0.9397205292106438,0.5280214062732272,0.0602794707893563,31-33
37015,"Bertie County, North Carolina",North Carolina,0.8220771072491243,157909189646.97675,0.8430752453653216,0.4187568157033806,-0.1569247546346783,31-33
13099,"Early County, Georgia",Georgia,0.8196299386625835,122747929603.25928,0.8852223816355811,0.5570813691330191,0.11477761836441897,31-33
37107,"Lenoir County, North Carolina",North Carolina,0.8157604300639396,104013349752.9622,0.9321318041143274,0.530274895321318,0.06786819588567261,31-33
27103,"Nicollet County, Minnesota",Minnesota,0.8133771568872593,88484220412.11789,0.9948847783403948,0.4929213599255968,0.00511522165960526,31-33
23023,"Sagadahoc County, Maine",Maine,0.8124972502526713,156005581587.02563,0.8337831207065751,0.4055037618580308,-0.16621687929342494,31-33
13307,"Webster County, Georgia",Georgia,0.8102801246821425,189614015215.7272,0.8158682634730539,0.5913173652694611,0.18413173652694617,31-33
45017,"Calhoun County, South Carolina",South Carolina,0.8099138827702913,133727504692.31715,0.8565832701541573,0.5653272681324235,0.14341672984584275,31-33
05041,"Desha County, Arkansas",Arkansas,0.8082554187844085,95626450290.92169,0.9523537803138373,0.514978601997147,0.04764621968616267,31-33
41057,"Tillamook County, Oregon",Oregon,0.8015956900618342,88010346783.51634,0.9864848109113453,0.4924984500929944,0.01351518908865467,31-33
37195,"Wilson County, North Carolina",North Carolina,0.8000432305015579,86193037542.0747,0.9960228125469008,0.49402171194156785,-0.00397718745309921,31-33
26121,"Muskegon County, Michigan",Michigan,0.7986302285931749,88051859643.24252,0.9820828079024799,0.5016078184110971,0.01791719209752002,31-33
55139,"Winnebago County, Wisconsin",Wisconsin,0.7980126598736862,93337570357.48447,0.9525145535170123,0.5167706954164303,0.04748544648298769,31-33
13205,"Mitchell County, Georgia",Georgia,0.7974316488901665,139388209122.53857,0.8367691787766137,0.5801509518981638,0.16323082122338628,31-33
45023,"Chester County, South Carolina",South Carolina,0.789248669571903,139413283887.46854,0.8279120596554383,0.5804834147595783,0.1720879403445616,31-33
