year,counties,counties_with_vote20,nonzero_exposure_share,exposure_mean,exposure_median,exposure_p90,exposure_per_worker_median
2017,3235,3103,0.923338485316847,103038078.13790262,30787888.34784032,233686380.92026845,3862.4381519678295
2018,3235,3103,0.9496136012364761,111382256.66604966,35083298.65322353,252620036.53264338,4446.016452383975
2019,3237,3105,0.9477911646586346,109678657.01013805,34837095.93642031,246861568.25987792,4354.332913381804
2020,3238,3106,0.9462631253860407,95255076.35494149,30588500.57859662,212223578.76171657,3796.1521455186603
2021,3238,3106,0.9493514515132798,116177317.66793242,38703878.14424351,260838392.74767625,4818.589747979622
2022,3239,3098,0.9478234022846558,136286648.9202988,45940155.85986604,309902795.27896136,5528.3875827097245
2023,3237,3096,0.9493358047574915,132978030.12367594,43835102.00152805,305276196.2415063,5249.0971821133935
