county_fips,Time,naics2c,county_export_usd,emp_share,EMP_num,total_emp,tariff_rate_mean,tariff_rate_median,tariff_rate_p90,n_tariff_lines,matched_emp,matched_tariff,matched_all,exposure_component_mean,exposure_component_p90
04023,2024,11,4097454188,0.010356218194804036,116,11201,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,10984425.28397563,16973651.84565664
04023,2024,21,7660121348,0.002499776805642353,28,11201,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,3918176.9121262464,5265863.260387465
04023,2024,31-33,42810020484,0.039907151147218996,447,11201,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,393689518.5712973,597949085.3246852
04023,2024,91,40958040,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
04023,2024,93,532197264,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
04023,2024,99,243300908,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
04023,2025 through June,11,1924834656,0.010356218194804036,116,11201,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,5160082.698364249,7973603.074582628
04023,2025 through June,21,4905993320,0.002499776805642353,28,11201,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,2509431.4938611845,3372569.2852423894
04023,2025 through June,31-33,22382222968,0.039907151147218996,447,11201,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,205831403.14358538,312623764.24815637
04023,2025 through June,91,39293748,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
04023,2025 through June,93,148875820,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
04023,2025 through June,99,157608844,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2023,11,32952363804,1.4720131924480457e-4,587,3987736,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,1255626.047795544,1940252.5696734188
06037,2023,21,3300949256,5.115684689257263e-4,2040,3987736,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,345533.1935708578,464381.9281456947
06037,2023,31-33,409346049804,0.07345421060972943,292916,3987736,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,6928911121.545585,10523866834.097332
06037,2023,91,17729788676,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2023,93,11248231708,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2023,99,3338839136,1.3265672552044568e-4,529,3987736,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
06037,2024,11,30592868956,1.4720131924480457e-4,587,3987736,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,1165719.1989755344,1801324.267922651
06037,2024,21,3295382720,5.115684689257263e-4,2040,3987736,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,344950.50574016455,463598.82046354125
06037,2024,31-33,434575291968,0.07345421060972943,292916,3987736,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,7355960989.748803,11172484757.700745
06037,2024,91,18584641212,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2024,93,11514266364,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
06037,2024,98,247792,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
