county_fips,Time,naics2c,county_export_usd
22071,2024,31-33,388932372744
22071,2024,91,602187124
22071,2024,93,593975928
22071,2024,98,14843756
22071,2024,99,6628061336
22071,2025 through June,11,38394146912
22071,2025 through June,21,41106590188
22071,2025 through June,31-33,201403775764
22071,2025 through June,91,239177216
22071,2025 through June,93,303618204
22071,2025 through June,98,4445048
22071,2025 through June,99,3441368444
23005,2023,11,2114760376
23005,2023,21,1056104064
23005,2023,31-33,25076784088
23005,2023,91,157413616
23005,2023,93,78066652
23005,2023,98,12750596
23005,2023,99,481424292
23005,2024,11,2360558004
23005,2024,21,822849244
23005,2024,31-33,23901704872
23005,2024,91,221044344
23005,2024,93,283586924
23005,2024,98,10442932
23005,2024,99,187461260
23005,2025 through June,11,647282744
23005,2025 through June,21,1083568468
23005,2025 through June,31-33,11231299696
23005,2025 through June,91,86639164
23005,2025 through June,93,43480920
23005,2025 through June,98,1246432
23005,2025 through June,99,130709080
24510,2023,11,1245311452
24510,2023,21,23031237868
24510,2023,31-33,59498268376
24510,2023,91,2451185476
24510,2023,93,1528985480
24510,2023,99,562534940
24510,2024,11,1092413784
24510,2024,21,19238448432
24510,2024,31-33,35587882580
24510,2024,91,1850152984
24510,2024,93,1331107484
24510,2024,99,572626484
24510,2025 through June,11,476796936
24510,2025 through June,21,10168222792
24510,2025 through June,31-33,18649492872
24510,2025 through June,91,1040789060
24510,2025 through June,93,978827076
24510,2025 through June,99,195302816
25025,2023,11,811132460
25025,2023,21,2950172
25025,2023,31-33,33796482736
25025,2023,91,2237521468
25025,2023,93,249767856
25025,2023,98,86788
25025,2023,99,267181916
25025,2024,11,845321324
25025,2024,21,2543384
25025,2024,31-33,33545725700
25025,2024,91,2070511936
25025,2024,93,247688324
25025,2024,99,305257932
25025,2025 through June,11,375942052
25025,2025 through June,21,246012
25025,2025 through June,31-33,18053301908
25025,2025 through June,91,896654756
25025,2025 through June,93,171951024
25025,2025 through June,99,107775180
26163,2023,11,14649377080
26163,2023,21,21202074276
26163,2023,31-33,563560128952
26163,2023,91,3394888208
26163,2023,93,1003465728
26163,2023,98,109082680
26163,2023,99,406203712
26163,2024,11,15810767052
26163,2024,21,20475315584
26163,2024,31-33,549891670288
26163,2024,91,3337061316
26163,2024,93,859354020
26163,2024,98,139385772
26163,2024,99,793277360
26163,2025 through June,11,7900675836
26163,2025 through June,21,10694554564
26163,2025 through June,31-33,253532341676
26163,2025 through June,91,1617475968
26163,2025 through June,93,2683937672
26163,2025 through June,98,179355772
26163,2025 through June,99,324604872
27053,2023,11,583774552
27053,2023,21,628095776
27053,2023,31-33,7360897664
27053,2023,91,7161376
27053,2023,93,30816352
27053,2023,98,114960
27053,2023,99,85866804
27053,2024,11,638061668
27053,2024,21,241747364
27053,2024,31-33,8909903932
27053,2024,91,1952248
27053,2024,93,8437600
27053,2024,98,91692
27053,2024,99,54883684
27053,2025 through June,11,93260728
27053,2025 through June,21,202914984
27053,2025 through June,31-33,3934775368
27053,2025 through June,91,105136
27053,2025 through June,93,5813920
27053,2025 through June,98,180496
27053,2025 through June,99,24407900
27137,2023,11,278365196
27137,2023,21,1527440084
27137,2023,31-33,20470533108
27137,2023,91,200614584
27137,2023,93,23137040
27137,2023,98,690716
27137,2023,99,1045860
27137,2024,11,286554028
27137,2024,21,1390700968
27137,2024,31-33,18472849424
27137,2024,91,141179564
27137,2024,93,17641144
27137,2024,98,227380
27137,2024,99,4630024
27137,2025 through June,11,89221572
27137,2025 through June,21,620834788
27137,2025 through June,31-33,7901115380
27137,2025 through June,91,37595152
27137,2025 through June,93,14450272
27137,2025 through June,99,553984
29189,2023,11,732594
29189,2023,31-33,1607288200
29189,2023,93,5805652
29189,2023,99,13645868
29189,2024,11,8955730
29189,2024,31-33,945323662
29189,2024,93,17030000
29189,2024,99,12375274
29189,2025 through June,11,75156
29189,2025 through June,31-33,872651430
29189,2025 through June,93,93918
29189,2025 through June,99,8151816
29510,2023,11,732594
29510,2023,31-33,1607288200
29510,2023,93,5805652
29510,2023,99,13645868
29510,2024,11,8955730
29510,2024,31-33,945323662
29510,2024,93,17030000
29510,2024,99,12375274
29510,2025 through June,11,75156
29510,2025 through June,31-33,872651430
29510,2025 through June,93,93918
29510,2025 through June,99,8151816
30013,2023,11,5750260008
30013,2023,21,193612464
30013,2023,31-33,73687455740
30013,2023,91,48681204
30013,2023,93,380953228
30013,2023,98,27234888
30013,2023,99,3319155760
30013,2024,11,6538756560
30013,2024,21,172836896
30013,2024,31-33,78468091332
30013,2024,91,24060436
30013,2024,93,354530308
30013,2024,98,23736900
30013,2024,99,2466302532
