county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01013,52,124,34,6329,5646,0.021962451292950762
01013,53,31,18,860,5646,0.0054906128232376904
01013,54,47,18,2634,5646,0.00832447750619908
01013,56,376,20,10729,5646,0.06659582004959264
01013,62,847,45,36199,5646,0.1500177116542685
01013,71,99,4,1409,5646,0.01753453772582359
01013,72,703,42,12898,5646,0.12451292950761601
01013,81,117,35,3677,5646,0.020722635494155154
01015,11,90,13,4649,34577,0.002602886311710096
01015,22,164,5,17526,34577,0.004743037279116176
01015,23,957,137,57199,34577,0.027677357781184023
01015,31-33,6450,93,379738,34577,0.1865401856725569
01015,42,1377,92,80893,34577,0.03982416056916448
01015,44-45,6627,447,213148,34577,0.1916591954189201
01015,48-49,1145,72,55670,34577,0.033114498076756226
01015,51,352,36,18645,34577,0.010180177574688377
01015,52,885,152,63874,34577,0.025595048731815947
01015,53,539,77,21001,34577,0.015588396911241576
01015,54,1057,154,58333,34577,0.03056945368308413
01015,55,45,9,4665,34577,0.001301443155855048
01015,56,1781,104,53262,34577,0.051508228012840905
01015,61,814,17,26048,34577,0.02354166064146687
01015,62,5467,283,267933,34577,0.15811088295687886
01015,71,295,23,6097,34577,0.008531682910605316
01015,72,4922,240,88862,34577,0.14234896029152327
01015,81,1552,275,43141,34577,0.04488532839748966
01017,11,178,24,10242,7897,0.022540205141192857
01017,22,79,3,6390,7897,0.010003798910978853
01017,23,178,45,9965,7897,0.022540205141192857
01017,31-33,2518,28,161295,7897,0.31885526149170573
01017,42,144,16,10581,7897,0.0182347726984931
01017,44-45,1082,114,33157,7897,0.13701405597062175
01017,48-49,365,13,22820,7897,0.046220083576041536
01017,51,74,4,4881,7897,0.009370647081170065
01017,52,116,29,6058,7897,0.014689122451563886
01017,53,28,16,1030,7897,0.0035456502469292136
01017,54,240,30,9788,7897,0.03039128783082183
01017,56,764,41,19743,7897,0.09674559959478284
01017,61,120,3,3029,7897,0.015195643915410915
01017,62,995,51,49321,7897,0.12599721413194884
01017,71,3,3,113,7897,3.798910978852729e-4
01017,72,749,59,13502,7897,0.09484614410535647
01017,81,263,92,7656,7897,0.03330378624794226
01019,11,51,6,1883,4338,0.011756569847856155
01019,23,133,27,7542,4338,0.03065928999538958
01019,31-33,784,23,38440,4338,0.18072844628861226
01019,42,127,14,6254,4338,0.029276164130935915
01019,44-45,893,74,29146,4338,0.20585523282618717
01019,48-49,118,22,5081,4338,0.027201475334255418
01019,51,37,6,1984,4338,0.008529276164130935
01019,52,111,29,5098,4338,0.025587828492392807
01019,53,17,12,1112,4338,0.003918856615952052
01019,54,81,25,2323,4338,0.01867219917012448
01019,56,421,11,10026,4338,0.09704933148916552
01019,62,723,59,34931,4338,0.16666666666666666
01019,71,25,5,584,4338,0.005763024435223606
01019,72,568,36,9240,4338,0.13093591516828032
01019,81,154,39,3895,4338,0.03550023052097741
01021,11,86,12,5152,7784,0.011048304213771839
01021,22,95,6,8096,7784,0.012204522096608427
01021,23,518,97,35645,7784,0.06654676258992806
01021,31-33,1800,43,95684,7784,0.2312435765673176
01021,42,428,28,22493,7784,0.05498458376156218
01021,44-45,1607,148,57252,7784,0.2064491264131552
01021,48-49,238,42,11739,7784,0.030575539568345324
01021,51,47,12,2837,7784,0.006038026721479959
01021,52,177,48,10608,7784,0.022738951695786228
01021,53,69,29,3057,7784,0.008864337101747173
01021,54,137,44,6519,7784,0.017600205549845836
01021,56,189,27,7388,7784,0.024280575539568347
01021,62,767,73,39424,7784,0.09853545734840699
01021,71,79,7,1434,7784,0.010149023638232271
01021,72,975,61,17408,7784,0.125256937307297
01021,81,558,124,14153,7784,0.07168550873586844
01023,11,269,18,16162,2683,0.10026090197540068
01023,23,178,19,9944,2683,0.06634364517331345
